#,Category,Difficulty,Dutch,English
1,COMMON WORDS,Easy,de,the
2,COMMON WORDS,Easy,en,and
3,COMMON WORDS,Easy,een,a
4,COMMON WORDS,Easy,het,it
5,COMMON WORDS,Easy,in,in
6,COMMON WORDS,Easy,te,too
7,COMMON WORDS,Easy,ik,I
8,COMMON WORDS,Easy,hebben,to have
9,COMMON WORDS,Easy,hij,he
10,COMMON WORDS,Easy,niet,not
11,COMMON WORDS,Easy,op,on
12,COMMON WORDS,Easy,dat,that
13,COMMON WORDS,Easy,voor,before
14,COMMON WORDS,Easy,er,there
15,COMMON WORDS,Easy,je,you
16,COMMON WORDS,Easy,zullen,shall
17,COMMON WORDS,Easy,kunnen,can/to be able to
18,COMMON WORDS,Easy,haar,her
19,COMMON WORDS,Easy,of,or
20,COMMON WORDS,Easy,wat,what
21,COMMON WORDS,Easy,gaan,to go
22,COMMON WORDS,Easy,hem,him
23,COMMON WORDS,Easy,komen,come
24,COMMON WORDS,Easy,dan,then
25,COMMON WORDS,Easy,zo,so
26,COMMON WORDS,Easy,moeten,should
27,COMMON WORDS,Easy,mijn,my
28,COMMON WORDS,Easy,zij,she
29,COMMON WORDS,Easy,deze,this
30,COMMON WORDS,Easy,we,we
31,COMMON WORDS,Easy,meer,more
32,COMMON WORDS,Easy,dit,this
33,COMMON WORDS,Easy,maken,to make
34,COMMON WORDS,Easy,staan,stand
35,COMMON WORDS,Easy,goed,good
36,COMMON WORDS,Easy,ander,other
37,COMMON WORDS,Easy,doen,to do
38,COMMON WORDS,Easy,me,me
39,COMMON WORDS,Easy,u,you
40,COMMON WORDS,Easy,mij,me
41,COMMON WORDS,Easy,laten,to let
42,COMMON WORDS,Easy,al,already
43,COMMON WORDS,Easy,daar,there
44,COMMON WORDS,Easy,denken,to think
45,COMMON WORDS,Easy,toen,then (past)
46,COMMON WORDS,Easy,geven,to give
47,COMMON WORDS,Easy,hoe,how
48,COMMON WORDS,Easy,nu,now
49,COMMON WORDS,Easy,vinden,find
50,COMMON WORDS,Easy,man,man
51,COMMON WORDS,Easy,jaar,year
52,COMMON WORDS,Easy,hier,here
53,COMMON WORDS,Easy,wij,we
54,COMMON WORDS,Easy,houden,to keep
55,COMMON WORDS,Easy,zitten,to sit
56,COMMON WORDS,Easy,hand,hand
57,COMMON WORDS,Easy,lang,long
58,COMMON WORDS,Easy,twee,two
59,COMMON WORDS,Easy,dag,day
60,COMMON WORDS,Easy,eerst,first
61,COMMON WORDS,Easy,alleen,only
62,COMMON WORDS,Easy,brengen,bring
63,COMMON WORDS,Easy,beginnen,to begin
64,COMMON WORDS,Easy,zelf,self
65,COMMON WORDS,Easy,horen,to hear
66,COMMON WORDS,Easy,nieuw,new
67,COMMON WORDS,Easy,laat,late
68,COMMON WORDS,Easy,voelen,to feel
69,COMMON WORDS,Easy,plaats,place
70,COMMON WORDS,Easy,leven,life
71,COMMON WORDS,Easy,huis,house
72,COMMON WORDS,Easy,vallen,fall
73,COMMON WORDS,Easy,moeder,mother
74,COMMON WORDS,Easy,spreken,to speak
75,COMMON WORDS,Easy,woord,word
76,COMMON WORDS,Easy,ja,yes
77,COMMON WORDS,Easy,wanneer,when
78,COMMON WORDS,Easy,vader,father
79,COMMON WORDS,Easy,werk,work
80,COMMON WORDS,Easy,elk,each
81,COMMON WORDS,Easy,ver,far
82,COMMON WORDS,Easy,later,later
83,COMMON WORDS,Easy,vertellen,to tell
84,COMMON WORDS,Easy,jij,you
85,COMMON WORDS,Easy,drie,three
86,COMMON WORDS,Easy,oud,old
87,COMMON WORDS,Easy,soms,sometimes
88,COMMON WORDS,Easy,wereld,world
89,COMMON WORDS,Easy,eerst,first
90,COMMON WORDS,Easy,uur,hour
91,COMMON WORDS,Easy,naam,name
92,COMMON WORDS,Easy,soort,kind
93,COMMON WORDS,Easy,werken,to work
94,COMMON WORDS,Easy,vol,full
95,COMMON WORDS,Easy,welk,which
96,COMMON WORDS,Easy,boek,book
97,COMMON WORDS,Easy,deur,door
98,COMMON WORDS,Easy,ding,thing
99,COMMON WORDS,Easy,nee,no
100,COMMON WORDS,Easy,water,water
101,COMMON WORDS,Easy,feit,fact
102,COMMON WORDS,Easy,wachten,to wait
103,COMMON WORDS,Easy,leren,to learn
104,COMMON WORDS,Easy,open,open
105,COMMON WORDS,Easy,probleem,problem
106,COMMON WORDS,Easy,groep,group
107,COMMON WORDS,Easy,jong,young
108,COMMON WORDS,Easy,wit,white
109,COMMON WORDS,Easy,zodat,so that
110,COMMON WORDS,Easy,lachen,laugh
111,COMMON WORDS,Easy,bed,bed
112,COMMON WORDS,Easy,verder,further
113,COMMON WORDS,Easy,moment,moment
114,COMMON WORDS,Easy,staat,state
115,COMMON WORDS,Easy,vriend,friend
116,COMMON WORDS,Easy,week,week
117,COMMON WORDS,Easy,laatste,last
118,COMMON WORDS,Easy,helpen,to help
119,COMMON WORDS,Easy,licht,light
120,COMMON WORDS,Easy,diep,deep
121,COMMON WORDS,Easy,nacht,night
122,COMMON WORDS,Easy,langs,along
123,COMMON WORDS,Easy,beide,both
124,COMMON WORDS,Easy,jullie,you
125,COMMON WORDS,Easy,vrij,free
126,COMMON WORDS,Easy,gevoel,feeling
127,COMMON WORDS,Easy,half,half
128,COMMON WORDS,Easy,tafel,table
129,COMMON WORDS,Easy,school,school
130,COMMON WORDS,Easy,vier,four
131,COMMON WORDS,Easy,dood,death
132,COMMON WORDS,Easy,sociaal,social
133,COMMON WORDS,Easy,hard,hard
134,COMMON WORDS,Easy,wijn,wine
135,COMMON WORDS,Easy,maand,month
136,COMMON WORDS,Easy,mond,mouth
137,COMMON WORDS,Easy,reden,reason
138,COMMON WORDS,Easy,voet,foot
139,COMMON WORDS,Easy,idee,idea
140,COMMON WORDS,Easy,oud,old
141,COMMON WORDS,Easy,rol,role
142,COMMON WORDS,Easy,jou,you
143,COMMON WORDS,Easy,antwoord,answer
144,COMMON WORDS,Easy,slapen,to sleep
145,COMMON WORDS,Easy,plan,plan
146,COMMON WORDS,Easy,meestal,mostly
147,COMMON WORDS,Easy,straat,street
148,COMMON WORDS,Easy,persoon,person
149,COMMON WORDS,Easy,schouder,shoulder
150,COMMON WORDS,Easy,luisteren,listen
151,COMMON WORDS,Easy,invloed,influence
152,COMMON WORDS,Easy,hart,heart
153,COMMON WORDS,Easy,zoon,son
154,COMMON WORDS,Easy,bezig,busy
155,COMMON WORDS,Easy,arm,arm
156,COMMON WORDS,Easy,tien,ten
157,COMMON WORDS,Easy,los,loose
158,COMMON WORDS,Easy,vijf,five
159,COMMON WORDS,Easy,minuut,minute
160,COMMON WORDS,Easy,liefde,love
161,COMMON WORDS,Easy,sommige,some
162,COMMON WORDS,Easy,direct,directly
163,COMMON WORDS,Easy,relatie,relationship
164,COMMON WORDS,Easy,systeem,system
165,COMMON WORDS,Easy,proces,process
166,COMMON WORDS,Easy,menen,mean
167,COMMON WORDS,Easy,derde,third
168,COMMON WORDS,Easy,drinken,drink
